,Total,Tip,Gender,Smoker,Day,Time,Number of guests
0,16.99,1.01,Female,No,Sunday,Night,2
1,10.34,1.66,Male,No,Sunday,Night,3
2,21.01,3.5,Male,No,Sunday,Night,3
3,23.68,3.31,Male,No,Sunday,Night,2
4,24.59,3.61,Female,No,Sunday,Night,4
5,25.29,4.71,Male,No,Sunday,Night,4
6,8.77,2.0,Male,No,Sunday,Night,2
7,26.88,3.12,Male,No,Sunday,Night,4
8,15.04,1.96,Male,No,Sunday,Night,2
9,14.78,3.23,Male,No,Sunday,Night,2
10,10.27,1.71,Male,No,Sunday,Night,2
11,35.26,5.0,Female,No,Sunday,Night,4
12,15.42,1.57,Male,No,Sunday,Night,2
13,18.43,3.0,Male,No,Sunday,Night,4
14,14.83,3.02,Female,No,Sunday,Night,2
15,21.58,3.92,Male,No,Sunday,Night,2
16,10.33,1.67,Female,No,Sunday,Night,3
17,16.29,3.71,Male,No,Sunday,Night,3
18,16.97,3.5,Female,No,Sunday,Night,3
19,20.65,3.35,Male,No,Saturday,Night,3
20,17.92,4.08,Male,No,Saturday,Night,2
21,20.29,2.75,Female,No,Saturday,Night,2
22,15.77,2.23,Female,No,Saturday,Night,2
23,39.42,7.58,Male,No,Saturday,Night,4
24,19.82,3.18,Male,No,Saturday,Night,2
25,17.81,2.34,Male,No,Saturday,Night,4
26,13.37,2.0,Male,No,Saturday,Night,2
27,12.69,2.0,Male,No,Saturday,Night,2
28,21.7,4.3,Male,No,Saturday,Night,2
29,19.65,3.0,Female,No,Saturday,Night,2
30,9.55,1.45,Male,No,Saturday,Night,2
31,18.35,2.5,Male,No,Saturday,Night,4
32,15.06,3.0,Female,No,Saturday,Night,2
33,20.69,2.45,Female,No,Saturday,Night,4
34,17.78,3.27,Male,No,Saturday,Night,2
35,24.06,3.6,Male,No,Saturday,Night,3
36,16.31,2.0,Male,No,Saturday,Night,3
37,16.93,3.07,Female,No,Saturday,Night,3
38,18.69,2.31,Male,No,Saturday,Night,3
39,31.27,5.0,Male,No,Saturday,Night,3
40,16.04,2.24,Male,No,Saturday,Night,3
41,17.46,2.54,Male,No,Sunday,Night,2
42,13.94,3.06,Male,No,Sunday,Night,2
43,9.68,1.32,Male,No,Sunday,Night,2
44,30.4,5.6,Male,No,Sunday,Night,4
45,18.29,3.0,Male,No,Sunday,Night,2
46,22.23,5.0,Male,No,Sunday,Night,2
47,32.4,6.0,Male,No,Sunday,Night,4
48,28.55,2.05,Male,No,Sunday,Night,3
49,18.04,3.0,Male,No,Sunday,Night,2
50,12.54,2.5,Male,No,Sunday,Night,2
51,10.29,2.6,Female,No,Sunday,Night,2
52,34.81,5.2,Female,No,Sunday,Night,4
53,9.94,1.56,Male,No,Sunday,Night,2
54,25.56,4.34,Male,No,Sunday,Night,4
55,19.49,3.51,Male,No,Sunday,Night,2
56,38.01,3.0,Male,Yes,Saturday,Night,4
57,26.41,1.5,Female,No,Saturday,Night,2
58,11.24,1.76,Male,Yes,Saturday,Night,2
59,48.27,6.73,Male,No,Saturday,Night,4
60,20.29,3.21,Male,Yes,Saturday,Night,2
61,13.81,2.0,Male,Yes,Saturday,Night,2
62,11.02,1.98,Male,Yes,Saturday,Night,2
63,18.29,3.76,Male,Yes,Saturday,Night,4
64,17.59,2.64,Male,No,Saturday,Night,3
65,20.08,3.15,Male,No,Saturday,Night,3
66,16.45,2.47,Female,No,Saturday,Night,2
67,3.07,1.0,Female,Yes,Saturday,Night,1
68,20.23,2.01,Male,No,Saturday,Night,2
69,15.01,2.09,Male,Yes,Saturday,Night,2
70,12.02,1.97,Male,No,Saturday,Night,2
71,17.07,3.0,Female,No,Saturday,Night,3
72,26.86,3.14,Female,Yes,Saturday,Night,2
73,25.28,5.0,Female,Yes,Saturday,Night,2
74,14.73,2.2,Female,No,Saturday,Night,2
75,10.51,1.25,Male,No,Saturday,Night,2
76,17.92,3.08,Male,Yes,Saturday,Night,2
77,27.2,4.0,Male,No,Thursday,Noon,4
78,22.76,3.0,Male,No,Thursday,Noon,2
79,17.29,2.71,Male,No,Thursday,Noon,2
80,19.44,3.0,Male,Yes,Thursday,Noon,2
81,16.66,3.4,Male,No,Thursday,Noon,2
82,10.07,1.83,Female,No,Thursday,Noon,1
83,32.68,5.0,Male,Yes,Thursday,Noon,2
84,15.98,2.03,Male,No,Thursday,Noon,2
85,34.83,5.17,Female,No,Thursday,Noon,4
86,13.03,2.0,Male,No,Thursday,Noon,2
87,18.28,4.0,Male,No,Thursday,Noon,2
88,24.71,5.85,Male,No,Thursday,Noon,2
89,21.16,3.0,Male,No,Thursday,Noon,2
90,28.97,3.0,Male,Yes,Friday,Night,2
91,22.49,3.5,Male,No,Friday,Night,2
92,5.75,1.0,Female,Yes,Friday,Night,2
93,16.32,4.3,Female,Yes,Friday,Night,2
94,22.75,3.25,Female,No,Friday,Night,2
95,40.17,4.73,Male,Yes,Friday,Night,4
96,27.28,4.0,Male,Yes,Friday,Night,2
97,12.03,1.5,Male,Yes,Friday,Night,2
98,21.01,3.0,Male,Yes,Friday,Night,2
99,12.46,1.5,Male,No,Friday,Night,2
100,11.35,2.5,Female,Yes,Friday,Night,2
101,15.38,3.0,Female,Yes,Friday,Night,2
102,44.3,2.5,Female,Yes,Saturday,Night,3
103,22.42,3.48,Female,Yes,Saturday,Night,2
104,20.92,4.08,Female,No,Saturday,Night,2
105,15.36,1.64,Male,Yes,Saturday,Night,2
106,20.49,4.06,Male,Yes,Saturday,Night,2
